id	extent	pages	description	type	rights	identifier	format	date	coverage	publisher	language	contributor	title	creator
294356673	793 p	793	P. 757-788: Bibliografia di Albert Einstein			88-339-0442-3	Language material	1988		Torino : Bollati Boringhieri	ita	Bertotti, Filippo␟Bellone, Enrico␟Istituto italiano per gli studi filosofici,	Opere scelte -	Einstein, Albert (1879-1955)
134083032	159 S	159	andere Ausgabe: <<Das>> Relativitätsprinzip				Language material	1958		Stuttgart : Teubner	ger	Weil, H.␟Einstein, Albert (1879-1955)␟Lorentz, Hendrik A. (1853-1928)␟Minkowski, Hermann (1864-1909)␟Sommerfeld, Arnold (1868-1951)	Das Relativitätsprinzip - eine Sammlung von Abhandlungen	
28373714X	131 p	131	"Textes réunis par Marlène Belilos (textes et document, suivis de six contributions)␟La correspondance en 1932 entre Einstein et Freud, parue en mars 1933 sous le titre ""Warum Krieg ?"", est formée d'une lettre du premier et d'une réponse du second␟""Nous et la mort"" : conférence inédite prononcée en 1915 par Sigmund Freud ; la trad. publ. ici est parue pour la première fois en 1991 dans la revue ""Paléa"", no 12␟""Enquête sur Freud ..."" : ce texte, traduit ici de l'italien par Marlène Belilos, été publ. en 1992 dans la Revue internationale d'histoire de la psychanalyse, no 5␟Includes bibliographical references p. 129-130␟Nous et la mort / Sigmund Freud ; trad. Ferdinand Scherrer. - P. 25-44␟Pourquoi la guerre ? / Sigmund Freud, Albert Einstein ; [trd. par Blaise Briod]. - P. 45-69␟Enquête sur Freud [et la ""Wiener Psychoanalytische Vereinigung""] par la diplomatie fasciste italienne en 1935. - P. 71-76␟labcur RMA 94594␟2"	Aufsatzsammlung␟Études diverses␟Correspondance␟Briefsammlung		2-87623-287-1␟978-2-87623-287-7	Language material	2011		Paris : M. de Maule	fre	Freud, Sigmund␟Einstein, Albert␟Freud, Sigmund␟Scherrer, Ferdinand␟Briod, Blaise (1896-1981)	Freud et la guerre -	Belilos, Marlène
300294131	476 S	476	Indice onomástico␟Correspondance (1903-1955)	Briefsammlung		84-7223-771-0	Language material	1994		Barcelona : Tusquets Editores	spa	Speziali, Pierre␟Besso, Michele (1873-1955)␟Einstein, Albert (1879-1955)	Correspondencia con Michele Besso (1903-1955) -	
284243906	XVIII, 919 p	919	Bibliogr.: p. 833-901␟1900119777␟dea␟ps␟NB076-2003␟nt	Études diverses		0-521-22285-0	Language material	1979			eng	Hawking, Stephen W. (1942-)␟Israel, Werner	General relativity - an Einstein centenary survey	
298413752	36 S	36		Festschrift			Language material	1918			ger	Planck, Max (1858-1947)	Zu Max Plancks sechzigstem Geburtstag -	
294997806	62 p	62	Traduit de : Warum Krieg?␟1900529210␟dea␟ps␟NB068-2000␟nt	Correspondance			Language material	1933		Paris : Institut international de coopération intellectuelle [Genève] : Société des Nations	fre	Briod, Blaise␟Freud, Sigmund (1856-1939)␟Völkerbund,␟International Institute of Intellectual Co-operation,	Pourquoi la guerre? - [correspondance]	Einstein, Albert (1879-1955)
335853676	XXIV, 412 p	412	[Contains] letters [by] Romain Rolland, Albert Einstein [and] Thomas Mann; [and] letters [by] George D. Herron [from Switzerland]␟1900304497␟dea␟ps␟NB040-2000␟nt	Briefsammlung			Language material	1960		Columbia : Univ. of Missouri press	eng	Einstein, Albert (1879-1955)␟Herron, George Davis␟Mann, Thomas (1875-1955)␟Rolland, Romain (1866-1944)	My lifetime in letters -	Sinclair, Upton (1878-1968)
260096334	32 S	32	"SA aus: Technischen Rundschau, Nr. 20,21,29, 1955␟Tiré à part de: ""Technische Rundschau"". - 1955, Nr. 20, 21 und 29"	Festschrift			Language material	1955			ger	Seelig, Carl (1894-1962)␟Kervaire, Michel␟Mercier, André (1913-1999)␟Scherrer, Willy␟Schürer, Max (1910-1997)␟Houtermans, Fritz Georg (1903-1966)␟Einstein, Albert (1879-1955)	50 Jahre Relativitätstheorie -	
296900613	IX, 495 S	495	Commemorating the 100th birthday of Albert Einstein␟Proceedings of the Einstein centennial celebration science symposium on symmetries in science, held at Southern Illinois University, Carbondale, Illinois February 23 - March 2, 1979␟1900094720␟dea␟ps␟NB016-2001␟nt	Festschrift␟Kongress		0-306-40541-5	Language material	1980		New York [etc.] : Plenum Press	eng	Einstein, Albert (1879-1955)␟Gruber, Bruno␟Millman, Richard S.␟Einstein centennial celebration science symposium on symmetries in science, ((1979)␟Kongress, ((1979)	Symmetries in science -	
